date,longitude,latitude,elevation_m,slope_degree,rainfall,temperature,soil_moisture,ndvi,evapotranspiration
2023-03-26,110.4200,-7.0300,0,7.3485,12.5293,24.4798,0.3000,0.5000,7.5794
2023-03-27,110.4200,-7.0300,0,7.3485,12.1441,24.0906,0.3000,0.5000,7.5539
2023-03-28,110.4200,-7.0300,0,7.3485,18.6535,24.6046,0.3000,0.5000,7.5611
2023-03-29,110.4200,-7.0300,0,7.3485,3.2916,24.6928,0.3000,0.5000,7.6584
2023-03-30,110.4200,-7.0300,0,7.3485,16.0787,24.9548,0.3000,0.5000,7.6154
2023-03-31,110.4200,-7.0300,0,7.3485,13.4303,24.3276,0.3000,0.5000,7.5622
2023-04-01,110.4200,-7.0300,0,7.3485,28.0291,23.9230,0.3000,0.5000,7.4543
2023-04-02,110.4200,-7.0300,0,7.3485,17.9667,24.1550,0.3000,0.5000,7.5184
2023-04-03,110.4200,-7.0300,0,7.3485,4.4517,24.1882,0.3000,0.5000,7.6140
2023-04-04,110.4200,-7.0300,0,7.3485,9.0108,24.5960,0.3000,0.5000,7.6120
2023-04-05,110.4200,-7.0300,0,7.3485,2.6584,24.9849,0.3000,0.5000,7.6839
2023-04-06,110.4200,-7.0300,0,7.3485,4.6752,24.7249,0.3000,0.5000,7.6512
2023-04-07,110.4200,-7.0300,0,7.3485,10.5583,25.0524,0.3000,0.5000,7.6343
2023-04-08,110.4200,-7.0300,0,7.3485,11.1727,24.5052,0.3000,0.5000,7.5905
2023-04-09,110.4200,-7.0300,0,7.3485,8.9452,24.5409,0.3000,0.5000,7.6085
2023-04-10,110.4200,-7.0300,0,7.3485,14.0657,24.1888,0.3000,0.5000,7.5478
2023-04-11,110.4200,-7.0300,0,7.3485,5.2267,25.1670,0.3000,0.5000,7.6793
2023-04-12,110.4200,-7.0300,0,7.3485,23.4999,25.1767,0.3000,0.5000,7.6431
2023-04-13,110.4200,-7.0300,0,7.3485,16.6928,24.6105,0.3000,0.5000,7.5625
2023-04-14,110.4200,-7.0300,0,7.3485,4.1587,24.7964,0.3000,0.5000,7.6599
2023-04-15,110.4200,-7.0300,0,7.3485,7.8633,24.6861,0.3000,0.5000,7.6264
2023-04-16,110.4200,-7.0300,0,7.3485,3.3493,24.7734,0.3000,0.5000,7.6639
2023-04-17,110.4200,-7.0300,0,7.3485,5.6491,25.3455,0.3000,0.5000,7.6893
2023-04-18,110.4200,-7.0300,0,7.3485,14.4204,25.3784,0.3000,0.5000,7.6807
2023-04-19,110.4200,-7.0300,0,7.3485,3.2739,25.6671,0.3000,0.5000,7.7289
2023-04-20,110.4200,-7.0300,0,7.3485,10.5174,25.6376,0.3000,0.5000,7.7214
2023-04-21,110.4200,-7.0300,0,7.3485,14.6542,25.3551,0.3000,0.5000,7.6771
2023-04-22,110.4200,-7.0300,0,7.3485,7.9751,25.4256,0.3000,0.5000,7.6896
2023-04-23,110.4200,-7.0300,0,7.3485,4.1068,25.6182,0.3000,0.5000,7.7200
2023-04-24,110.4200,-7.0300,0,7.3485,9.6829,25.3609,0.3000,0.5000,7.6792
2023-04-25,110.4200,-7.0300,0,7.3485,12.0560,25.3438,0.3000,0.5000,7.6760
2023-04-26,110.4200,-7.0300,0,7.3485,6.4314,25.4695,0.3000,0.5000,7.6967
2023-04-27,110.4200,-7.0300,0,7.3485,2.8293,25.4335,0.3000,0.5000,7.7151
2023-04-28,110.4200,-7.0300,0,7.3485,8.8342,25.4795,0.3000,0.5000,7.6976
2023-04-29,110.4200,-7.0300,0,7.3485,3.4319,24.9484,0.3000,0.5000,7.6759
2023-04-30,110.4200,-7.0300,0,7.3485,8.7961,25.6679,0.3000,0.5000,7.7265
2023-05-01,110.4200,-7.0300,0,7.3485,11.6603,25.1014,0.3000,0.5000,7.6390
2023-05-02,110.4200,-7.0300,0,7.3485,5.5940,25.1587,0.3000,0.5000,7.6762
2023-05-03,110.4200,-7.0300,0,7.3485,15.4607,25.2457,0.3000,0.5000,7.6601
2023-05-04,110.4200,-7.0300,0,7.3485,14.4719,25.1415,0.3000,0.5000,7.6444
2023-05-05,110.4200,-7.0300,0,7.3485,15.7815,25.2864,0.3000,0.5000,7.6663
2023-05-06,110.4200,-7.0300,0,7.3485,1.3071,24.9652,0.3000,0.5000,7.6918
2023-05-07,110.4200,-7.0300,0,7.3485,5.3188,25.5575,0.3000,0.5000,7.7104
2023-05-08,110.4200,-7.0300,0,7.3485,6.6777,25.5896,0.3000,0.5000,7.7150
2023-05-09,110.4200,-7.0300,0,7.3485,5.9699,25.8619,0.3000,0.5000,7.7569
2023-05-10,110.4200,-7.0300,0,7.3485,4.5687,26.0667,0.3000,0.5000,7.7887
2023-05-11,110.4200,-7.0300,0,7.3485,14.7931,24.7622,0.3000,0.5000,7.5862
2023-05-12,110.4200,-7.0300,0,7.3485,2.7729,26.3644,0.3000,0.5000,7.8347
2023-05-13,110.4200,-7.0300,0,7.3485,0.0000,25.1210,0.3000,0.5000,7.7121
2023-05-14,110.4200,-7.0300,0,7.3485,0.0412,24.7769,0.3000,0.5000,7.6869
2023-05-15,110.4200,-7.0300,0,7.3485,0.0000,24.6735,0.3000,0.5000,7.6798
2023-05-16,110.4200,-7.0300,0,7.3485,0.0000,24.6002,0.3000,0.5000,7.6745
2023-05-17,110.4200,-7.0300,0,7.3485,0.0000,25.0358,0.3000,0.5000,7.7059
2023-05-18,110.4200,-7.0300,0,7.3485,1.9824,24.8724,0.3000,0.5000,7.6804
2023-05-19,110.4200,-7.0300,0,7.3485,0.0581,25.3196,0.3000,0.5000,7.7260
2023-05-20,110.4200,-7.0300,0,7.3485,0.2362,25.3114,0.3000,0.5000,7.7242
2023-05-21,110.4200,-7.0300,0,7.3485,0.7469,25.2701,0.3000,0.5000,7.7177
2023-05-22,110.4200,-7.0300,0,7.3485,0.0038,25.0569,0.3000,0.5000,7.7074
2023-05-23,110.4200,-7.0300,0,7.3485,0.0000,24.9381,0.3000,0.5000,7.6989
2023-05-24,110.4200,-7.0300,0,7.3485,0.0000,25.0352,0.3000,0.5000,7.7059
2023-05-25,110.4200,-7.0300,0,7.3485,0.0000,25.3174,0.3000,0.5000,7.7262
2023-05-26,110.4200,-7.0300,0,7.3485,0.0000,25.6232,0.3000,0.5000,7.7483
2023-05-27,110.4200,-7.0300,0,7.3485,0.0000,25.3239,0.3000,0.5000,7.7267
2023-05-28,110.4200,-7.0300,0,7.3485,0.0022,25.2563,0.3000,0.5000,7.7218
2023-05-29,110.4200,-7.0300,0,7.3485,0.0000,25.4109,0.3000,0.5000,7.7330
2023-05-30,110.4200,-7.0300,0,7.3485,0.0022,25.2765,0.3000,0.5000,7.7233
2023-05-31,110.4200,-7.0300,0,7.3485,0.0000,25.4617,0.3000,0.5000,7.7366
2023-06-01,110.4200,-7.0300,0,7.3485,0.0000,25.8024,0.3000,0.5000,7.7612
2023-06-02,110.4200,-7.0300,0,7.3485,0.3233,26.3606,0.3000,0.5000,7.8348
2023-06-03,110.4200,-7.0300,0,7.3485,0.0000,26.0949,0.3000,0.5000,7.7941
2023-06-04,110.4200,-7.0300,0,7.3485,0.0518,25.7716,0.3000,0.5000,7.7586
2023-06-05,110.4200,-7.0300,0,7.3485,2.3726,25.7303,0.3000,0.5000,7.7397
2023-06-06,110.4200,-7.0300,0,7.3485,3.2961,24.7873,0.3000,0.5000,7.6652
2023-06-07,110.4200,-7.0300,0,7.3485,9.3171,24.9714,0.3000,0.5000,7.6370
2023-06-08,110.4200,-7.0300,0,7.3485,0.2498,25.5018,0.3000,0.5000,7.7378
2023-06-09,110.4200,-7.0300,0,7.3485,0.5117,25.1855,0.3000,0.5000,7.7132
2023-06-10,110.4200,-7.0300,0,7.3485,0.0000,25.2399,0.3000,0.5000,7.7206
2023-06-11,110.4200,-7.0300,0,7.3485,9.7195,25.5403,0.3000,0.5000,7.7067
2023-06-12,110.4200,-7.0300,0,7.3485,8.9256,25.7967,0.3000,0.5000,7.7462
2023-06-13,110.4200,-7.0300,0,7.3485,2.9742,26.0440,0.3000,0.5000,7.7856
2023-06-14,110.4200,-7.0300,0,7.3485,4.1964,25.5170,0.3000,0.5000,7.7117
2023-06-15,110.4200,-7.0300,0,7.3485,0.1718,25.4781,0.3000,0.5000,7.7366
2023-06-16,110.4200,-7.0300,0,7.3485,11.4452,24.7111,0.3000,0.5000,7.6035
2023-06-17,110.4200,-7.0300,0,7.3485,18.5477,25.1472,0.3000,0.5000,7.6443
2023-06-18,110.4200,-7.0300,0,7.3485,2.5648,25.2440,0.3000,0.5000,7.7032
2023-06-19,110.4200,-7.0300,0,7.3485,8.3231,25.0121,0.3000,0.5000,7.6468
2023-06-20,110.4200,-7.0300,0,7.3485,3.7599,25.0906,0.3000,0.5000,7.6839
2023-06-21,110.4200,-7.0300,0,7.3485,0.3277,25.5093,0.3000,0.5000,7.7378
2023-06-22,110.4200,-7.0300,0,7.3485,0.4558,25.7034,0.3000,0.5000,7.7509
2023-06-23,110.4200,-7.0300,0,7.3485,0.0000,25.2284,0.3000,0.5000,7.7198
2023-06-24,110.4200,-7.0300,0,7.3485,0.1219,25.2724,0.3000,0.5000,7.7221
2023-06-25,110.4200,-7.0300,0,7.3485,1.0527,25.0554,0.3000,0.5000,7.7001
2023-06-26,110.4200,-7.0300,0,7.3485,0.0864,25.0914,0.3000,0.5000,7.7093
2023-06-27,110.4200,-7.0300,0,7.3485,0.0000,24.7213,0.3000,0.5000,7.6832
2023-06-28,110.4200,-7.0300,0,7.3485,0.0000,25.5330,0.3000,0.5000,7.7418
